D:\Projects\Datasets\3dsmax\evaluate\Train\interior\GroundTruth\interior max_Perspective.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\interior\Normals\interior max_Perspective_normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\interior\Position\interior max_Perspective_D_Z Depth.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00001-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00001-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00001-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00002-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00002-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00002-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00003-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00003-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00003-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00004-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00004-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00004-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00005-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00005-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00005-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00006-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00006-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00006-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00007-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00007-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00007-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00008-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00008-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00008-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00009-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00009-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00009-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00010-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00010-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00010-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00011-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00011-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00011-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00012-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00012-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00012-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00013-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00013-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00013-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00014-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00014-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00014-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00015-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00015-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00015-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00016-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00016-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00016-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00017-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00017-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00017-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00018-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00018-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00018-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00019-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00019-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00019-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00020-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00020-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00020-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00021-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00021-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00021-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00022-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00022-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00022-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00023-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00023-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00023-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00024-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00024-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00024-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00025-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00025-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00025-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00026-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00026-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00026-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00027-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00027-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00027-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00028-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00028-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00028-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00029-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00029-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00029-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00030-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00030-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00030-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00031-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00031-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00031-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00032-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00032-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00032-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00033-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00033-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00033-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00034-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00034-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00034-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00035-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00035-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00035-position.exr
